,Text,Language,lang_abbr,text_pp
31,"The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.",English,Eng,The field is a major academic discipline and is also important for mineral and hydrocarbon extraction knowledge about and mitigation of natural hazards some Geotechnical engineering fields and understanding past climates and environments
32,The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations.,English,Eng,The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations
33,Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.,English,Eng,Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock
34,"Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock, or when as volcanic material such as volcanic ash or lava flows, blanket the surface.",English,Eng,Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock or when as volcanic material such as volcanic ash or lava flows blanket the surface
35,"Igneous intrusions such as batholiths, laccoliths, dikes, and sills, push upwards into the overlying rock, and crystallize as they intrude.",English,Eng,Igneous intrusions such as batholiths laccoliths dikes and sills push upwards into the overlying rock and crystallize as they intrude
36,"After the initial sequence of rocks has been deposited, the rock units can be deformed and/or metamorphosed.",English,Eng,After the initial sequence of rocks has been deposited the rock units can be deformed andor metamorphosed
37,"Deformation typically occurs as a result of horizontal shortening, horizontal extension, or side-to-side (strike-slip) motion.",English,Eng,Deformation typically occurs as a result of horizontal shortening horizontal extension or sidetoside strikeslip motion
38,"These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates.",English,Eng,These structural regimes broadly relate to convergent boundaries divergent boundaries and transform boundaries respectively between tectonic plates
39,"Earth is estimated to have formed 4.54 billion years ago from the solar nebula, along with the Sun and other planets.",English,Eng,Earth is estimated to have formed billion years ago from the solar nebula along with the Sun and other planets
40,[12] The moon formed roughly 20 million years later.,English,Eng, The moon formed roughly million years later
41,"Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.",English,Eng,Initially molten the outer layer of the Earth cooled resulting in the solid crust
42,Outgassing and volcanic activity produced the primordial atmosphere.,English,Eng,Outgassing and volcanic activity produced the primordial atmosphere
43,"Condensing water vapor, most or all of which came from ice delivered by comets, produced the oceans and other water sources.",English,Eng,Condensing water vapor most or all of which came from ice delivered by comets produced the oceans and other water sources
44,[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.,English,Eng, The highly energetic chemistry is believed to have produced a selfreplicating molecule around billion years ago
45,"[14] Continents formed, then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years, occasionally combining to make a supercontinent.",English,Eng, Continents formed then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years occasionally combining to make a supercontinent
46,"Roughly 750 million years ago, the earliest known supercontinent Rodinia, began to break apart.",English,Eng,Roughly million years ago the earliest known supercontinent Rodinia began to break apart
47,"The continents later recombined to form Pannotia which broke apart about 540 million years ago, then finally Pangaea, which broke apart about 180 million years ago.",English,Eng,The continents later recombined to form Pannotia which broke apart about million years ago then finally Pangaea which broke apart about million years ago
48,"[16] During the Neoproterozoic era, freezing temperatures covered much of the Earth in glaciers and ice sheets.",English,Eng, During the Neoproterozoic era freezing temperatures covered much of the Earth in glaciers and ice sheets
49,"This hypothesis has been termed the ""Snowball Earth"", and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about 530–540 million years ago.",English,Eng,This hypothesis has been termed the Snowball Earth and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about million years ago
50,[17] Since the Cambrian explosion there have been five distinctly identifiable mass extinctions.,English,Eng, Since the Cambrian explosion there have been five distinctly identifiable mass extinctions
51,"[18] The last mass extinction occurred some 66 million years ago, when a meteorite collision probably triggered the extinction of the non-avian dinosaurs and other large reptiles, but spared small animals such as mammals.",English,Eng, The last mass extinction occurred some million years ago when a meteorite collision probably triggered the extinction of the nonavian dinosaurs and other large reptiles but spared small animals such as mammals
52,"Over the past 66 million years, mammalian life diversified.",English,Eng,Over the past million years mammalian life diversified
53,"[19] Several million years ago, a species of small African ape gained the ability to stand upright.",English,Eng, Several million years ago a species of small African ape gained the ability to stand upright
54,"[15] The subsequent advent of human life, and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form, affecting both the nature and quantity of other organisms as well as global climate.",English,Eng, The subsequent advent of human life and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form affecting both the nature and quantity of other organisms as well as global climate
55,"By comparison, the Great Oxygenation Event, produced by the proliferation of algae during the Siderian period, required about 300 million years to culminate.",English,Eng,By comparison the Great Oxygenation Event produced by the proliferation of algae during the Siderian period required about million years to culminate
56,"The present era is classified as part of a mass extinction event, the Holocene extinction event, the fastest ever to have occurred.",English,Eng,The present era is classified as part of a mass extinction event the Holocene extinction event the fastest ever to have occurred
57,"[20][21] Some, such as E. O. Wilson of Harvard University, predict that human destruction of the biosphere could cause the extinction of one-half of all species in the next 100 years.",English,Eng, Some such as E O Wilson of Harvard University predict that human destruction of the biosphere could cause the extinction of onehalf of all species in the next years
58,"[22] The extent of the current extinction event is still being researched, debated and calculated by biologists.",English,Eng, The extent of the current extinction event is still being researched debated and calculated by biologists
59,[23][24][25] The Earth's atmosphere is a key factor in sustaining the ecosystem.,English,Eng, The Earth atmosphere is a key factor in sustaining the ecosystem
60,The thin layer of gases that envelops the Earth is held in place by gravity.,English,Eng,The thin layer of gases that envelops the Earth is held in place by gravity
61,"Air is mostly nitrogen, oxygen, water vapor, with much smaller amounts of carbon dioxide, argon, etc.",English,Eng,Air is mostly nitrogen oxygen water vapor with much smaller amounts of carbon dioxide argon etc
62,The atmospheric pressure declines steadily with altitude.,English,Eng,The atmospheric pressure declines steadily with altitude
63,The ozone layer plays an important role in depleting the amount of ultraviolet (UV) radiation that reaches the surface.,English,Eng,The ozone layer plays an important role in depleting the amount of ultraviolet UV radiation that reaches the surface
64,"As DNA is readily damaged by UV light, this serves to protect life at the surface.",English,Eng,As DNA is readily damaged by UV light this serves to protect life at the surface
65,"The atmosphere also retains heat during the night, thereby reducing the daily temperature extremes.",English,Eng,The atmosphere also retains heat during the night thereby reducing the daily temperature extremes
66,"Terrestrial weather occurs almost exclusively in the lower part of the atmosphere, and serves as a convective system for redistributing heat.",English,Eng,Terrestrial weather occurs almost exclusively in the lower part of the atmosphere and serves as a convective system for redistributing heat
67,"[26] Ocean currents are another important factor in determining climate, particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions.",English,Eng, Ocean currents are another important factor in determining climate particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions
68,These currents help to moderate the differences in temperature between winter and summer in the temperate zones.,English,Eng,These currents help to moderate the differences in temperature between winter and summer in the temperate zones
69,"Also, without the redistributions of heat energy by the ocean currents and atmosphere, the tropics would be much hotter, and the polar regions much colder.",English,Eng,Also without the redistributions of heat energy by the ocean currents and atmosphere the tropics would be much hotter and the polar regions much colder
70,Weather can have both beneficial and harmful effects.,English,Eng,Weather can have both beneficial and harmful effects
71,"Extremes in weather, such as tornadoes or hurricanes and cyclones, can expend large amounts of energy along their paths, and produce devastation.",English,Eng,Extremes in weather such as tornadoes or hurricanes and cyclones can expend large amounts of energy along their paths and produce devastation
72,"Surface vegetation has evolved a dependence on the seasonal variation of the weather, and sudden changes lasting only a few years can have a dramatic effect, both on the vegetation and on the animals which depend on its growth for their food.",English,Eng,Surface vegetation has evolved a dependence on the seasonal variation of the weather and sudden changes lasting only a few years can have a dramatic effect both on the vegetation and on the animals which depend on its growth for their food
73,Climate is a measure of the long-term trends in the weather.,English,Eng,Climate is a measure of the longterm trends in the weather
74,"Various factors are known to influence the climate, including ocean currents, surface albedo, greenhouse gases, variations in the solar luminosity, and changes to the Earth's orbit.",English,Eng,Various factors are known to influence the climate including ocean currents surface albedo greenhouse gases variations in the solar luminosity and changes to the Earth orbit
75,"Based on historical records, the Earth is known to have undergone drastic climate changes in the past, including ice ages.",English,Eng,Based on historical records the Earth is known to have undergone drastic climate changes in the past including ice ages
76,"The climate of a region depends on a number of factors, especially latitude.",English,Eng,The climate of a region depends on a number of factors especially latitude
77,A latitudinal band of the surface with similar climatic attributes forms a climate region.,English,Eng,A latitudinal band of the surface with similar climatic attributes forms a climate region
78,"There are a number of such regions, ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes.",English,Eng,There are a number of such regions ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes
79,"Weather is also influenced by the seasons, which result from the Earth's axis being tilted relative to its orbital plane.",English,Eng,Weather is also influenced by the seasons which result from the Earth axis being tilted relative to its orbital plane
80,"Thus, at any given time during the summer or winter, one part of the Earth is more directly exposed to the rays of the sun.",English,Eng,Thus at any given time during the summer or winter one part of the Earth is more directly exposed to the rays of the sun
81,This exposure alternates as the Earth revolves in its orbit.,English,Eng,This exposure alternates as the Earth revolves in its orbit
82,"At any given time, regardless of season, the northern and southern hemispheres experience opposite seasons.",English,Eng,At any given time regardless of season the northern and southern hemispheres experience opposite seasons
83,"Weather is a chaotic system that is readily modified by small changes to the environment, so accurate weather forecasting is limited to only a few days.",English,Eng,Weather is a chaotic system that is readily modified by small changes to the environment so accurate weather forecasting is limited to only a few days
84,"[27] Overall, two things are happening worldwide: (1) temperature is increasing on the average; and (2) regional climates have been undergoing noticeable changes.",English,Eng, Overall two things are happening worldwide  temperature is increasing on the average and  regional climates have been undergoing noticeable changes
85,[28] Water is a chemical substance that is composed of hydrogen and oxygen (H2O) and is vital for all known forms of life.,English,Eng, Water is a chemical substance that is composed of hydrogen and oxygen HO and is vital for all known forms of life
86,"[29] In typical usage, water refers only to its liquid form or state, but the substance also has a solid state, ice, and a gaseous state, water vapor, or steam.",English,Eng, In typical usage water refers only to its liquid form or state but the substance also has a solid state ice and a gaseous state water vapor or steam
87,Water covers 71% of the Earth's surface.,English,Eng,Water covers  of the Earth surface
88,"[30] On Earth, it is found mostly in oceans and other large bodies of water, with 1.6% of water below ground in aquifers and 0.001% in the air as vapor, clouds, and precipitation.",English,Eng, On Earth it is found mostly in oceans and other large bodies of water with  of water below ground in aquifers and  in the air as vapor clouds and precipitation
89,"[31][32] Oceans hold 97% of surface water, glaciers, and polar ice caps 2.4%, and other land surface water such as rivers, lakes, and ponds 0.6%.",English,Eng, Oceans hold  of surface water glaciers and polar ice caps  and other land surface water such as rivers lakes and ponds 
90,"Additionally, a minute amount of the Earth's water is contained within biological bodies and manufactured products.",English,Eng,Additionally a minute amount of the Earth water is contained within biological bodies and manufactured products
91,"An ocean is a major body of saline water, and a principal component of the hydrosphere.",English,Eng,An ocean is a major body of saline water and a principal component of the hydrosphere
92,"Approximately 71% of the Earth's surface (an area of some 361 million square kilometers) is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas.",English,Eng,Approximately  of the Earth surface an area of some million square kilometers is covered by ocean a continuous body of water that is customarily divided into several principal oceans and smaller seas
93,"More than half of this area is over 3,000 meters (9,800 feet) deep.",English,Eng,More than half of this area is over  meters  feet deep
94,"Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",English,Eng,Average oceanic salinity is around parts per thousand ppt  and nearly all seawater has a salinity in the range of to ppt
95,"Though generally recognized as several 'separate' oceans, these waters comprise one global, interconnected body of salt water often referred to as the World Ocean or global ocean.",English,Eng,Though generally recognized as several oceans these waters comprise one global interconnected body of salt water often referred to as the World Ocean or global ocean
96,[33][34] This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography.,English,Eng, This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography
97,"[35] The major oceanic divisions are defined in part by the continents, various archipelagos, and other criteria: these divisions are (in descending order of size) the Pacific Ocean, the Atlantic Ocean, the Indian Ocean, the Southern Ocean, and the Arctic Ocean.",English,Eng, The major oceanic divisions are defined in part by the continents various archipelagos and other criteria these divisions are in descending order of size the Pacific Ocean the Atlantic Ocean the Indian Ocean the Southern Ocean and the Arctic Ocean
98,"Smaller regions of the oceans are called seas, gulfs, bays and other names.",English,Eng,Smaller regions of the oceans are called seas gulfs bays and other names
99,"There are also salt lakes, which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean.",English,Eng,There are also salt lakes which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean
100,Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake.,English,Eng,Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake
101,"A lake (from Latin word lacus) is a terrain feature (or physical feature), a body of liquid on the surface of a world that is localized to the bottom of basin (another type of landform or terrain feature; that is, it is not global) and moves slowly if it moves at all.",English,Eng,A lake from Latin word lacus is a terrain feature or physical feature a body of liquid on the surface of a world that is localized to the bottom of basin another type of landform or terrain feature that is it is not global and moves slowly if it moves at all
102,"On Earth, a body of water is considered a lake when it is inland, not part of the ocean, is larger and deeper than a pond, and is fed by a river.",English,Eng,On Earth a body of water is considered a lake when it is inland not part of the ocean is larger and deeper than a pond and is fed by a river
103,"[36][37] The only world other than Earth known to harbor lakes is Titan, Saturn's largest moon, which has lakes of ethane, most likely mixed with methane.",English,Eng, The only world other than Earth known to harbor lakes is Titan Saturn largest moon which has lakes of ethane most likely mixed with methane
104,"It is not known if Titan's lakes are fed by rivers, though Titan's surface is carved by numerous river beds.",English,Eng,It is not known if Titan lakes are fed by rivers though Titan surface is carved by numerous river beds
105,"Natural lakes on Earth are generally found in mountainous areas, rift zones, and areas with ongoing or recent glaciation.",English,Eng,Natural lakes on Earth are generally found in mountainous areas rift zones and areas with ongoing or recent glaciation
106,Other lakes are found in endorheic basins or along the courses of mature rivers.,English,Eng,Other lakes are found in endorheic basins or along the courses of mature rivers
107,"In some parts of the world, there are many lakes because of chaotic drainage patterns left over from the last Ice Age.",English,Eng,In some parts of the world there are many lakes because of chaotic drainage patterns left over from the last Ice Age
108,"All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.",English,Eng,All lakes are temporary over geologic time scales as they will slowly fill in with sediments or spill out of the basin containing them
109,"A pond is a body of standing water, either natural or man-made, that is usually smaller than a lake.",English,Eng,A pond is a body of standing water either natural or manmade that is usually smaller than a lake
110,"A wide variety of man-made bodies of water are classified as ponds, including water gardens designed for aesthetic ornamentation, fish ponds designed for commercial fish breeding, and solar ponds designed to store thermal energy.",English,Eng,A wide variety of manmade bodies of water are classified as ponds including water gardens designed for aesthetic ornamentation fish ponds designed for commercial fish breeding and solar ponds designed to store thermal energy
111,Ponds and lakes are distinguished from streams via current speed.,English,Eng,Ponds and lakes are distinguished from streams via current speed
112,"While currents in streams are easily observed, ponds and lakes possess thermally driven micro-currents and moderate wind driven currents.",English,Eng,While currents in streams are easily observed ponds and lakes possess thermally driven microcurrents and moderate wind driven currents
113,"These features distinguish a pond from many other aquatic terrain features, such as stream pools and tide pools.",English,Eng,These features distinguish a pond from many other aquatic terrain features such as stream pools and tide pools
114,"A river is a natural watercourse,[38] usually freshwater, flowing towards an ocean, a lake, a sea or another river.",English,Eng,A river is a natural watercourse usually freshwater flowing towards an ocean a lake a sea or another river
115,"In a few cases, a river simply flows into the ground or dries up completely before reaching another body of water.",English,Eng,In a few cases a river simply flows into the ground or dries up completely before reaching another body of water
116,"Small rivers may also be called by several other names, including stream, creek, brook, rivulet, and rill; there is no general rule that defines what can be called a river.",English,Eng,Small rivers may also be called by several other names including stream creek brook rivulet and rill there is no general rule that defines what can be called a river
117,Many names for small rivers are specific to geographic location; one example is Burn in Scotland and North-east England.,English,Eng,Many names for small rivers are specific to geographic location one example is Burn in Scotland and Northeast England
118,"Sometimes a river is said to be larger than a creek, but this is not always the case, due to vagueness in the language.",English,Eng,Sometimes a river is said to be larger than a creek but this is not always the case due to vagueness in the language
119,[39] A river is part of the hydrological cycle.,English,Eng, A river is part of the hydrological cycle
120,"Water within a river is generally collected from precipitation through surface runoff, groundwater recharge, springs, and the release of stored water in natural ice and snowpacks (i.e., from glaciers).",English,Eng,Water within a river is generally collected from precipitation through surface runoff groundwater recharge springs and the release of stored water in natural ice and snowpacks ie from glaciers
121,"A stream is a flowing body of water with a current, confined within a bed and stream banks.",English,Eng,A stream is a flowing body of water with a current confined within a bed and stream banks
122,"In the United States, a stream is classified as a watercourse less than 60 feet (18 metres) wide.",English,Eng,In the United States a stream is classified as a watercourse less than feet  metres wide
123,"Streams are important as conduits in the water cycle, instruments in groundwater recharge, and they serve as corridors for fish and wildlife migration.",English,Eng,Streams are important as conduits in the water cycle instruments in groundwater recharge and they serve as corridors for fish and wildlife migration
124,The biological habitat in the immediate vicinity of a stream is called a riparian zone.,English,Eng,The biological habitat in the immediate vicinity of a stream is called a riparian zone
125,"Given the status of the ongoing Holocene extinction, streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity.",English,Eng,Given the status of the ongoing Holocene extinction streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity
126,"The study of streams and waterways in general involves many branches of inter-disciplinary natural science and engineering, including hydrology, fluvial geomorphology, aquatic ecology, fish biology, riparian ecology, and others.",English,Eng,The study of streams and waterways in general involves many branches of interdisciplinary natural science and engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology and others
127,Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way.,English,Eng,Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way
128,[41] The structure and composition is determined by various environmental factors that are interrelated.,English,Eng, The structure and composition is determined by various environmental factors that are interrelated
129,Variations of these factors will initiate dynamic modifications to the ecosystem.,English,Eng,Variations of these factors will initiate dynamic modifications to the ecosystem
130,"Some of the more important components are soil, atmosphere, radiation from the sun, water, and living organisms.",English,Eng,Some of the more important components are soil atmosphere radiation from the sun water and living organisms
131,Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment.,English,Eng,Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment
132,"Eugene Odum, a founder of ecology, stated: ""Any unit that includes all of the organisms (ie: the ""community"") in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure, biotic diversity, and material cycles (i.e.",English,Eng,Eugene Odum a founder of ecology stated Any unit that includes all of the organisms ie the community in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure biotic diversity and material cycles ie
133,: exchange of materials between living and nonliving parts) within the system is an ecosystem.,English,Eng, exchange of materials between living and nonliving parts within the system is an ecosystem
134,"""[42] Within the ecosystem, species are connected and dependent upon one another in the food chain, and exchange energy and matter between themselves as well as with their environment.",English,Eng, Within the ecosystem species are connected and dependent upon one another in the food chain and exchange energy and matter between themselves as well as with their environment
135,"[43] The human ecosystem concept is based on the human/nature dichotomy and the idea that all species are ecologically dependent on each other, as well as with the abiotic constituents of their biotope.",English,Eng, The human ecosystem concept is based on the humannature dichotomy and the idea that all species are ecologically dependent on each other as well as with the abiotic constituents of their biotope
136,[44] A smaller unit of size is called a microecosystem.,English,Eng, A smaller unit of size is called a microecosystem
137,"For example, a microsystem can be a stone and all the life under it.",English,Eng,For example a microsystem can be a stone and all the life under it
138,"A macroecosystem might involve a whole ecoregion, with its drainage basin.",English,Eng,A macroecosystem might involve a whole ecoregion with its drainage basin
139,[45] Wilderness is generally defined as areas that have not been significantly modified by human activity.,English,Eng, Wilderness is generally defined as areas that have not been significantly modified by human activity
140,"Wilderness areas can be found in preserves, estates, farms, conservation preserves, ranches, national forests, national parks, and even in urban areas along rivers, gulches, or otherwise undeveloped areas.",English,Eng,Wilderness areas can be found in preserves estates farms conservation preserves ranches national forests national parks and even in urban areas along rivers gulches or otherwise undeveloped areas
141,"Wilderness areas and protected parks are considered important for the survival of certain species, ecological studies, conservation, and solitude.",English,Eng,Wilderness areas and protected parks are considered important for the survival of certain species ecological studies conservation and solitude
142,"Some nature writers believe wilderness areas are vital for the human spirit and creativity,[46] and some ecologists consider wilderness areas to be an integral part of the Earth's self-sustaining natural ecosystem (the biosphere).",English,Eng,Some nature writers believe wilderness areas are vital for the human spirit and creativity and some ecologists consider wilderness areas to be an integral part of the Earth selfsustaining natural ecosystem the biosphere
143,"They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos, arboretums, or laboratories.",English,Eng,They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos arboretums or laboratories
144,"Although there is no universal agreement on the definition of life, scientists generally accept that the biological manifestation of life is characterized by organization, metabolism, growth, adaptation, response to stimuli, and reproduction.",English,Eng,Although there is no universal agreement on the definition of life scientists generally accept that the biological manifestation of life is characterized by organization metabolism growth adaptation response to stimuli and reproduction
145,[47] Life may also be said to be simply the characteristic state of organisms.,English,Eng, Life may also be said to be simply the characteristic state of organisms
146,"Properties common to terrestrial organisms (plants, animals, fungi, protists, archaea, and bacteria) are that they are cellular, carbon-and-water-based with complex organization, having a metabolism, a capacity to grow, respond to stimuli, and reproduce.",English,Eng,Properties common to terrestrial organisms plants animals fungi protists archaea and bacteria are that they are cellular carbonandwaterbased with complex organization having a metabolism a capacity to grow respond to stimuli and reproduce
147,An entity with these properties is generally considered life.,English,Eng,An entity with these properties is generally considered life
148,"However, not every definition of life considers all of these properties to be essential.",English,Eng,However not every definition of life considers all of these properties to be essential
149,Human-made analogs of life may also be considered to be life.,English,Eng,Humanmade analogs of life may also be considered to be life
150,"The biosphere is the part of Earth's outer shell—including land, surface rocks, water, air and the atmosphere—within which life occurs, and which biotic processes in turn alter or transform.",English,Eng,The biosphere is the part of Earth outer shell land surface rocks water air and the atmosphere which life occurs and which biotic processes in turn alter or transform
